text,retweet_count,favorite_count,created_at
"We've taken steps to lock in vital infrastructure investments—delivering lower costs for clean energy, spurring goo… https://t.co/du5NxM7x9x",1765,7720,2022-11-18 17:22:01+00:00
"RT @POTUS: When I think of Nancy Pelosi, I think of dignity.
 
History will note her as the most consequential Speaker of the House of Repr…",22530,0,2022-11-17 20:10:02+00:00
Donald Trump failed America. https://t.co/fylyocYcse,39234,171416,2022-11-16 02:20:35+00:00
"Today is the one-year anniversary of the Bipartisan Infrastructure Law, the most significant federal investment in… https://t.co/cVSHSt71ox",4452,23519,2022-11-15 21:30:02+00:00
"One year after the Bipartisan Infrastructure Law was signed, it is already delivering progress on once-in-a-generat… https://t.co/AgGIiHhona",2279,11464,2022-11-15 18:19:00+00:00
The difference between talking and delivering. https://t.co/TC3X6H3nj0,18470,92625,2022-11-15 15:05:04+00:00
"In this year’s midterm elections, we saw the strength and resilience of American democracy in action. 

There was a… https://t.co/j5OfhJya3b",4802,25361,2022-11-14 22:45:02+00:00
"The American people overwhelmingly support our agenda:

Lower prescription drug costs
Making health care more affor… https://t.co/B1ny3FwmCV",6069,32869,2022-11-12 22:56:00+00:00
Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats. https://t.co/ANkzNLKJak,6169,41156,2022-11-12 18:57:05+00:00
I will work with anyone on ideas to provide more breathing room for American families. And I will oppose any effort… https://t.co/glWv0HRUJ6,5006,25662,2022-11-11 20:00:10+00:00
"Our nation has a truly sacred obligation to prepare those we send into harm’s way, care for their families when the… https://t.co/hxJqZKIZUB",2752,11121,2022-11-11 14:50:25+00:00
"I want to thank the young people of this nation who voted in historic numbers—again—just as you did 2 years ago.

Y… https://t.co/LqbwLXOjzJ",6006,35800,2022-11-10 20:43:24+00:00
Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats.,4366,34229,2022-11-10 20:36:09+00:00
LIVE: Tune in as I address the nation about the 2022 midterm elections. https://t.co/9vawWKMJgr,585,2785,2022-11-10 20:24:33+00:00
"In this midterm election, we lost fewer seats in the House than any Democratic president’s first midterm election in at least 40 years.",8052,70035,2022-11-10 16:51:01+00:00
You heard the man. Pitch in for Rev. Warnock tonight! https://t.co/RsgbVSBH38,8665,40908,2022-11-10 03:50:25+00:00
"I want to thank the young people of this nation who voted in historic numbers, just as they did two years ago.

The… https://t.co/scJYmq3FYN",11558,79956,2022-11-10 00:52:00+00:00
"Yesterday was a good day for democracy and a good day for America.

Our democracy has been tested in recent years.… https://t.co/ilEOmee2Yi",5465,37085,2022-11-09 22:35:01+00:00
"RT @POTUS: Just got off the phone with some of tonight’s winners — including some folks I saw on the road this year.

If you’re in line to…",7386,0,2022-11-09 03:39:54+00:00
"As polls begin to close in certain parts of the country, if you’re in line at your polling place before it closes—s… https://t.co/DDZSgtVdcD",7797,40301,2022-11-08 23:15:02+00:00
"We've taken steps to lock in vital infrastructure investments—delivering lower costs for clean energy, spurring goo… https://t.co/du5NxM7x9x",2007,9392,2022-11-18 17:22:01+00:00
"RT @POTUS: Jill and I are praying for the families of the five people killed in Colorado Springs, and for those injured in this senseless a…",8500,0,2022-11-21 14:55:02+00:00
"I was honored to pardon Chocolate and Chip, our national Thanksgiving turkeys. https://t.co/sNcaI6NEqj",787,8344,2022-11-22 16:00:25+00:00
"There is further evidence that my economic plan is working.

We learned that inflation moderated and incomes grew i… https://t.co/fRwIuZAdQ1",886,4458,2022-12-01 23:24:00+00:00
"There is further evidence that my economic plan is working.

We learned that inflation moderated and incomes grew i… https://t.co/fRwIuZAdQ1",895,4497,2022-12-01 23:24:00+00:00
"Republicans are pouring millions of dollars into the Georgia Senate runoff to defeat @ReverendWarnock.

But their e… https://t.co/awrqWkhfan",1500,5868,2022-12-01 00:54:00+00:00
Companies in every part of our country are expanding factories and building new ones to make electric vehicle batte… https://t.co/gWD7RQqsie,2121,10934,2022-11-30 16:21:01+00:00
"Georgia, if you haven’t voted early for @ReverendWarnock in the runoff: Don’t wait.

Confirm your polling place at… https://t.co/nyAAyfjuPS",1488,5104,2022-11-30 01:39:00+00:00
"We’re building an economy that works for everybody. 

One that grows from the bottom up and the middle out, not the… https://t.co/QzyZCtIc5p",1775,10135,2022-11-29 23:59:05+00:00
RT @POTUS: We did. https://t.co/yO4Pe52N4F,3484,0,2022-11-29 23:22:14+00:00
"Georgia: Early voting is underway in the runoff, and we need your help to send @ReverendWarnock back to the U.S. Se… https://t.co/rF0VKGWJwp",2660,9314,2022-11-27 23:12:00+00:00
