text,retweet_count,favorite_count,created_at
,,,
"The CHIPS and Science Act will lower the costs of everything from cars to dishwashers, create good-paying manufactu… https://t.co/PZVu6qTSi1",530,2594,2022-11-19 00:47:00+00:00
,,,
"Through the Inflation Reduction Act, we’re lowering costs of families’ everyday expenses: 

—$800 annual savings on… https://t.co/VC2ZHTwaUL",416,2089,2022-11-18 22:07:00+00:00
,,,
"RT @VP: Thank you, @SpeakerPelosi.
 
Our entire nation is forever grateful for your leadership. https://t.co/a15KrDtSvE",4816,0,2022-11-17 21:05:01+00:00
,,,
"Congratulations to my friend @KarenBassLA, the next mayor of Los Angeles! https://t.co/7pXfT5glcJ",929,7599,2022-11-17 17:07:05+00:00
,,,
"Every American deserves access to clean drinking water. 

Thanks to the Bipartisan Infrastructure Law's historic in… https://t.co/w0Yl5r8S7G",720,4871,2022-11-15 19:24:00+00:00
,,,
"One year ago today, President @JoeBiden signed the Bipartisan Infrastructure Law. 

This landmark legislation is al… https://t.co/0XsGNij8BE",699,3547,2022-11-15 16:45:07+00:00
,,,
RT @VP: Our prayers are with the University of Virginia community and the families of three students who died at the hands of a gunman yest…,2365,0,2022-11-15 01:38:25+00:00
,,,
"Democracy is only as strong as our willingness to fight for it. 

No one fights harder for our democracy than the o… https://t.co/S5HpK1C0jX",1434,8145,2022-11-11 22:02:00+00:00
,,,
"Voters in Vermont, Michigan, California, and Kentucky voted to protect reproductive rights. 

To everyone who made that possible, thank you.",1123,10331,2022-11-11 19:58:02+00:00
,,,
"This Veterans Day, may we honor the courageous Americans in uniform who have made the ultimate promise to protect a… https://t.co/MUFA49Szbt",573,3102,2022-11-11 16:25:01+00:00
,,,
"To the millions of Americans who waited in line, who mailed in your ballot, who rejected big lies and extremism, an… https://t.co/8Qp9qKFUqx",2405,22028,2022-11-11 00:13:00+00:00
,,,
Thank you to everyone who played a role in helping to ensure the American people could make their voices heard duri… https://t.co/ugdMC8nGzw,339,2010,2022-11-10 20:23:49+00:00
,,,
"RT @VP: Democracy is stronger when everyone participates and is weaker when people are left out.

To the poll workers and officials who wor…",2479,0,2022-11-09 23:20:00+00:00
,,,
